, subjectID,block, pixl_dist1, pixl_sd1, seqfoil1, rep1, rep_num1, speed1, sspa1
140,5d3cbeefbaf11000011eda09,1,25.067,16.179, seq, False,0,1.892,95.0
141,60ff3497dffa67c464bc2368,1,26.963,18.274, seq, False,0,1.894,90.0
142,610b139cad91ac6d2ccd5bf6,1,11.315,9.013, seq, False,0,1.788,98.333
143,6672d7cb47449369dcb67790,1,37.92,15.381, seq, False,0,2.213,83.333
144,61088f97759a1199340202e9,1,30.753,28.491, seq, False,0,2.321,78.333
145,632521c2ce3c068c0626e7b0,1,24.188,21.488, foil, False,0,1.746,95.0
146,66747a0e76c701df4e595cff,1,24.647,14.934, foil, False,0,1.742,100.0
147,5f9dc18bef3e6733ab061325,1,32.323,25.737, foil, False,0,2.149,80.0
148,664b27b3e50de6f88e674218,1,68.85,44.725, seq, False,0,2.221,76.667
149,5f5fef6ce0809f0d5b3cde5c,1,36.437,22.507, seq, False,0,2.176,85.0
150,66399375b57f7997c832627a,1,40.413,31.325, seq, False,0,2.121,88.333
151,6616bd0a1cc98564940130cf,1,35.584,19.255, seq, False,0,1.842,96.667
152,5c284e0970d93a0001211e16,1,40.141,8.955, seq, False,0,1.89,96.667
153,63f27e4fbd4eca6ee6a44e9a,1,31.197,18.466, seq, False,0,1.744,98.333
154,6616a465a1281a82ebbb5bb5,1,16.036,14.265, seq, False,0,1.814,98.333
155,6658c47f3bd695ac90a0461a,1,33.594,30.831, seq, False,0,2.181,85.0
156,5bc6e0f93808a50001649d75,1,26.917,14.788, seq, False,0,2.178,80.0
157,62e185484154c451882a8a3d,1,18.205,18.148, seq, False,0,2.313,70.0
158,666da27d5601023b85c42cee,1,69.79,41.744, foil, False,0,2.327,48.333
159,66684ba9634d86b429fbaf47,1,32.272,24.614, foil, False,0,1.742,100.0
160,65cbd703053cb1dffec0b1d0,1,20.798,20.335, seq, False,0,1.916,96.667
161,66823a2c4ef8b23ac20ddbfc,1,9.742,8.273, seq, False,0,1.84,98.333
162,6114b9744a82951800e3b504,1,36.013,23.468, foil, False,0,2.09,88.333
163,61084dbab48ab21fce452554,1,14.381,12.727, seq, False,0,1.844,86.667
164,667eec6cb42482f576981a55,1,22.645,22.331, seq, False,0,2.032,88.333
165,66820629cd655ca9a15db646,1,47.432,25.318, foil, False,0,1.948,93.333
166,667e9a6f2898845b9502b1de,1,47.036,35.473, seq, False,0,2.279,70.0
167,601a3ff7ca20ac23d38eb8d6,1,28.368,17.967, seq, False,0,1.742,100.0
168,6282486284f992485dcdf4ea,1,22.97,15.817, foil, False,0,2.121,88.333
169,6630e01b7d69d22b8be429a6,1,13.74,10.198, seq, False,0,1.89,96.667
170,6558e7eaa36af682da46577a,1,37.222,26.017, seq, False,0,1.742,100.0
171,6362406ab7caf5fc96bb61c8,1,19.018,12.836, foil, False,0,1.748,95.0
172,5f416e4fb48a1930e3437c97,1,24.237,16.077, seq, False,0,1.84,98.333
173,6277fd1a3a086f8af7867fa0,1,12.057,11.384, foil, False,0,1.742,100.0
174,64013a11b2e34e23cb8c81ac,1,10.298,8.036, seq, False,0,1.742,100.0
175,6595969229ac40a58a7fda41,1,27.368,20.586, seq, False,0,1.766,98.333
176,667b4043a7f74c3ff540a60d,1,26.439,22.762, seq, False,0,1.946,95.0
177,60db3eeb564183360082d3a7,1,26.341,21.831, seq, False,0,1.766,98.333
178,65d6026605310835876ce7ce,2,37.342,22.082, seq, True,1,1.419,95.0
179,610106638465b318b18a9ce0,2,24.905,17.144, seq, True,1,1.356,98.333
180,65d563ecf8df20ade2f17888,2,40.464,26.241, foil, False,0,1.583,96.667
181,610ec31b33de16c5167f3062,2,34.817,39.709, foil, False,0,2.241,88.333
182,656f7fba85a23ce8c05f5e01,2,16.753,14.529, seq, False,0,1.231,100.0
183,5d08f7e3c97bc4001a7ea90b,2,19.917,19.138, seq, True,1,1.539,96.667
184,628d78a2ccf4a41f24c2d2d8,2,19.205,17.593, seq, True,1,1.338,96.667
185,60fd3245706969157168ad50,2,21.848,17.653, seq, True,1,1.497,96.667
186,661f49c6c26a5d5790f3fb3e,2,36.354,22.511, seq, False,0,1.917,95.0
187,60123ea20d30e72686a0074b,2,36.375,16.9, foil, False,0,1.231,100.0
188,58460095a7722e0001305499,2,18.806,13.297, seq, True,1,1.562,90.0
189,5fe4e6bf8bcb1f2bd103d1c7,2,20.758,16.033, seq, True,1,1.698,88.333
190,660b85fc839d009dd2c9b61a,2,14.346,9.027, seq, True,1,2.199,95.0
191,65c110fbee035adfc6c92bc5,2,77.872,39.428, foil, False,0,2.396,88.333
192,63e51e528df11f83a1aacab8,2,44.662,23.867, seq, True,1,1.375,96.667
193,65298aca34ac384b783169d4,2,14.981,12.521, seq, True,1,1.695,96.667
194,6635271e3e33851d3a9a7bed,2,23.268,17.539, seq, True,1,1.792,93.333
195,5efd018b8c837e13097c0cbf,2,27.224,22.634, foil, False,0,1.44,91.667
196,60fdd254a027bbf8cee60bf0,2,25.662,16.348, seq, True,1,1.764,96.667
197,62828045bb88107013fe7d54,2,28.763,24.618, seq, True,1,1.606,98.333
198,5f0ec8be70489322b9cb26f1,2,44.902,26.565, seq, False,0,2.208,98.333
199,650cc245b36612c74dcce501,2,20.537,23.268, seq, True,1,1.582,95.0
200,65fdbf50fb3ca2a86de44998,2,28.325,22.781, seq, True,1,1.604,95.0
201,5d4f5ba3cafff0001b4426b3,2,19.046,17.055, seq, True,1,1.322,98.333
202,62fc6762d2d8e46c4e75b469,2,20.178,13.792, seq, True,1,1.231,100.0
203,6168b61ad8c0d63b37a92109,2,11.493,9.622, seq, True,1,1.231,100.0
204,5a6eac90d5d4cb0001d6815a,2,50.062,35.256, seq, False,0,1.347,93.333
205,6632baca722ad82b9522bfcb,2,37.626,23.813, foil, False,0,1.526,90.0
206,663bd182cd0581b39123c31e,2,17.375,11.523, seq, False,0,1.416,100.0
207,63e52ae1972fba93f88c63d2,2,19.66,13.041, seq, True,1,1.321,100.0
208,6384ec504af00dd4483f521e,2,32.084,18.885, seq, False,0,1.546,95.0
209,65c11e68379ff4faa4eba6d9,2,21.754,23.334, foil, False,0,1.562,93.333
210,610049da8150fc6d3e6d6edc,2,38.578,20.27, seq, False,0,1.248,98.333
211,61187c7698dcd8dbdb9cf71b,2,23.416,17.084, seq, False,0,1.766,95.0
212,5f81fc9446ee002f681ea5e3,2,24.576,21.993, seq, False,0,1.419,96.667
213,5c005838232b6c0001221acf,2,39.367,25.614, foil, False,0,1.522,90.0
214,62d488043c7590e53ee7683f,2,33.094,23.929, seq, False,0,2.5,83.333
215,606f3058977e247974d43fc2,2,32.905,26.902, seq, True,1,1.648,98.333
216,66213d708da7fb804d990fd9,2,19.545,11.777, foil, False,0,1.63,88.333
